property_type,floor_size,developer,land_size,psf,furnishing,floor_level,tenure_type,built_year,listing_id,listing_time,bedroom_count,bathroom_counr,location,propertyguru_url
Condominium For Sale,872 sqft,Tropicana Ivory Sdn. Bhd.,,RM 665.14 psf,Fully Furnished,High Floor,Freehold,"September, 2017",35025945,8 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-may-ng-35025945
Condominium For Sale,872 sqft,Tropicana Ivory Sdn. Bhd.,,RM 768.35 psf,Fully Furnished,,Freehold,"September, 2017",33616932,9 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-33616932
Condominium For Sale,1045 sqft,Tropicana Ivory Sdn. Bhd.,,RM 622.01 psf,Fully Furnished,,Freehold,"September, 2017",34630572,9 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-34630572
Condominium For Sale,1320 sqft,Tropicana Ivory Sdn. Bhd.,,RM 606.06 psf,Fully Furnished,,Freehold,"September, 2017",35076662,9 hours ago,3,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-35076662
Condominium For Sale,1458 sqft,BSG Property,,RM 733.88 psf,Unfurnished,,Freehold,2019,35397439,9 hours ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-jonathan-lee-35397439
Condominium For Sale,1458 sqft,BSG Property,,RM 733.88 psf,Unfurnished,,Freehold,2019,35500458,10 hours ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-zeon-tan-35500458
Apartment For Sale,703 sqft,Aspen,,RM 497.87 psf,Unfurnished,,Freehold,,35926824,11 hours ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-anders-ong-35926824
Apartment For Sale,703 sqft,Aspen,,RM 497.87 psf,Unfurnished,,Freehold,,35897566,11 hours ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-anders-ong-35897566
Apartment For Sale,703 sqft,Aspen,,RM 497.87 psf,Unfurnished,Low Floor,Freehold,,35938342,11 hours ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-anders-ong-35938342
Apartment For Sale,703 sqft,Aspen,,RM 497.87 psf,Unfurnished,,Freehold,,35950745,11 hours ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-anders-ong-35950745
Condominium For Sale,1185 sqft,Visentak Capital Sdn Bhd,,RM 586.50 psf,Unfurnished,High Floor,Freehold,"January, 2018",34988106,12 hours ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/mont-residence-penang-for-sale-by-edwin-ng-34988106
Condominium For Sale,1110 sqft,Ideal Property Group,,RM 404.05 psf,,,Freehold,"December, 2021",34829016,12 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/the-amarene-ideal-vision-park-for-sale-by-ms-goh-34829016
Condominium For Sale,1182 sqft,GSD Land (M) Sdn. Bhd.,,RM 380.71 psf,,,Freehold,"January, 2015",35962000,1 day ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/sierra-residences-for-sale-by-cris-ng-35962000
Condominium For Sale,1110 sqft,,,RM 403.15 psf,,,Freehold,,34940357,1 day ago,3,2,Sungai Ara,https://www.propertyguru.com.my/property-listing/penang-island-free-50k-downpayment-and-30k-legal-fees-ready-move-in-condo-for-sale-by-ms-goh-34940357
Condominium For Sale,1110 sqft,,,RM 403.15 psf,,Middle Floor,Freehold,,34796252,1 day ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/0-downpayment-near-sg-ara-move-in-now-with-3-big-double-bed-room-for-sale-by-ms-goh-34796252
Condominium For Sale,1110 sqft,,,RM 403.60 psf,,,Freehold,,34792822,1 day ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/near-summerskye-residences-0-downpayment-free-all-legal-fees-for-sale-by-ms-goh-34792822
Condominium For Sale,845 sqft,IJM LAND BERHAD,,RM 733.73 psf,Unfurnished,Low Floor,Leasehold,"September, 2022",35309029,1 day ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/3-residence-for-sale-by-jeremy-tan-35309029
Condominium For Sale,5200 sqft,Coronation Springs,,RM 688.46 psf,Unfurnished,High Floor,Freehold,,34174700,1 day ago,5,5,Tajung Bungah,https://www.propertyguru.com.my/property-listing/springtide-residences-for-sale-by-billy-teh-34174700
Condominium For Sale,1409 sqft,BSG Property,,RM 759.40 psf,Unfurnished,Middle Floor,Freehold,2019,35780877,1 day ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-scott-seow-35780877
Condominium For Sale,1227 sqft,Streamville Sdn. Bhd.,,RM 364.47 psf,Fully Furnished,Middle Floor,Freehold,,35361438,1 day ago,3,2,Sungai Dua,https://www.propertyguru.com.my/property-listing/casa-utopia-sky-infinity-for-sale-by-raycent-lim-35361438
Apartment For Sale,703 sqft,Aspen,,RM 497.87 psf,Unfurnished,Middle Floor,Freehold,,35962123,1 day ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-eric-lim-35962123
Apartment For Sale,730 sqft,Aspen,,RM 471.23 psf,Unfurnished,Middle Floor,Freehold,2023,35962065,1 day ago,3,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-eric-lim-35962065
Apartment For Sale,703 sqft,Aspen,,RM 497.87 psf,,,Freehold,,35961902,1 day ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-lim-jin-hong-35961902
Condominium For Sale,796 sqft,,,RM 386.93 psf,Partially Furnished,Low Floor,Leasehold,1999,35775418,1 day ago,2,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/parkview-towers-for-sale-by-eugene-lee-35775418
Service Residence For Sale,779 sqft,Tambun Indah Land Berhad,,RM 449.29 psf,Fully Furnished,,Freehold,,35961829,1 day ago,2,2,Simpang Ampat,https://www.propertyguru.com.my/property-listing/avenue-garden-for-sale-by-janet-teo-35961829
