property_name,property_listing,property_type
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-may-ng-35025945,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-33616932,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-34630572,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-35076662,condominium
For Sale - Middleton @ Minden Heights,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-jonathan-lee-35397439,condominium
For Sale - Middleton @ Minden Heights,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-zeon-tan-35500458,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-anders-ong-35926824,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-anders-ong-35897566,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-anders-ong-35938342,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-anders-ong-35950745,condominium
For Sale - Mont Residence @ Penang,https://www.propertyguru.com.my/property-listing/mont-residence-penang-for-sale-by-edwin-ng-34988106,condominium
For Sale - The Amarene @ Ideal Vision Park,https://www.propertyguru.com.my/property-listing/the-amarene-ideal-vision-park-for-sale-by-ms-goh-34829016,condominium
For Sale - Sierra Residences,https://www.propertyguru.com.my/property-listing/sierra-residences-for-sale-by-cris-ng-35962000,condominium
For Sale - PENANG ISLAND FREE 50K DOWNPAYMENT AND 30K LEGAL FEES READY MOVE IN CONDO,https://www.propertyguru.com.my/property-listing/penang-island-free-50k-downpayment-and-30k-legal-fees-ready-move-in-condo-for-sale-by-ms-goh-34940357,condominium
For Sale - 0% Downpayment Near Sg Ara Move In Now With 3 Big Double Bed Room,https://www.propertyguru.com.my/property-listing/0-downpayment-near-sg-ara-move-in-now-with-3-big-double-bed-room-for-sale-by-ms-goh-34796252,condominium
For Sale - NEAR SummerSkye Residences 0% Downpayment Free All Legal Fees,https://www.propertyguru.com.my/property-listing/near-summerskye-residences-0-downpayment-free-all-legal-fees-for-sale-by-ms-goh-34792822,condominium
For Sale - 3 Residence,https://www.propertyguru.com.my/property-listing/3-residence-for-sale-by-jeremy-tan-35309029,condominium
For Sale - Springtide Residences,https://www.propertyguru.com.my/property-listing/springtide-residences-for-sale-by-billy-teh-34174700,condominium
For Sale - Middleton @ Minden Heights,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-scott-seow-35780877,condominium
For Sale - Casa Utopia Sky Infinity,https://www.propertyguru.com.my/property-listing/casa-utopia-sky-infinity-for-sale-by-raycent-lim-35361438,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-eric-lim-35962123,condominium
For Sale - Vivo Executive Apartment,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-eric-lim-35962065,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-lim-jin-hong-35961902,condominium
For Sale - Parkview Towers,https://www.propertyguru.com.my/property-listing/parkview-towers-for-sale-by-eugene-lee-35775418,condominium
For Sale - Avenue Garden,https://www.propertyguru.com.my/property-listing/avenue-garden-for-sale-by-janet-teo-35961829,condominium
For Sale - Eco Bloom,https://www.propertyguru.com.my/property-listing/eco-bloom-for-sale-by-janet-teo-35961706,condominium
For Sale - Royale Infinity,https://www.propertyguru.com.my/property-listing/royale-infinity-for-sale-by-janet-teo-35961587,condominium
"For Sale - Hot Location Aprtment Permata, Bandar Perda Bukit Mertajam",https://www.propertyguru.com.my/property-listing/hot-location-aprtment-permata-bandar-perda-bukit-mertajam-for-sale-by-mohd-idham-bin-mohd-sharif-35956236,condominium
For Sale - Middleton @ Minden Heights,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-edwin-ong-35354668,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-fred-lim-33354993,condominium
For Sale - Marinox Sky Villas,https://www.propertyguru.com.my/property-listing/marinox-sky-villas-for-sale-by-eugene-ye-tan-35960282,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-camillus-chai-35352697,condominium
For Sale - QuayWest Residence,https://www.propertyguru.com.my/property-listing/quaywest-residence-for-sale-by-alicia-poh-35952746,condominium
For Sale - The Spring,https://www.propertyguru.com.my/property-listing/the-spring-for-sale-by-camillus-chai-35952608,condominium
For Sale - Sierra Residences,https://www.propertyguru.com.my/property-listing/sierra-residences-for-sale-by-billion-chin-35405535,condominium
For Sale - Southbay Plaza Residential Suites,https://www.propertyguru.com.my/property-listing/southbay-plaza-residential-suites-for-sale-by-kh-tan-35950485,condominium
"For Sale - Hot Investment Water Park View Pinang Laguna, Perai , Peneng",https://www.propertyguru.com.my/property-listing/hot-investment-water-park-view-pinang-laguna-perai-peneng-for-sale-by-mohd-idham-bin-mohd-sharif-35950104,condominium
For Sale - The Jazz Residence,https://www.propertyguru.com.my/property-listing/the-jazz-residence-for-sale-by-sam-khoo-35111044,condominium
"For Sale - Hot Investment Pangsapuri Pinang Laguna Perai, Penang",https://www.propertyguru.com.my/property-listing/hot-investment-pangsapuri-pinang-laguna-perai-penang-for-sale-by-mohd-idham-bin-mohd-sharif-35949991,condominium
"For Sale - Low Density Sea Breeze Tower Condominium, Jalan Thomas Bukit Dumbar, Penang",https://www.propertyguru.com.my/property-listing/low-density-sea-breeze-tower-condominium-jalan-thomas-bukit-dumbar-penang-for-sale-by-mohd-idham-bin-mohd-sharif-35949907,condominium
For Sale - Springtide Residences,https://www.propertyguru.com.my/property-listing/springtide-residences-for-sale-by-billion-chin-35947773,condominium
"For Sale - Renovated Apartment Saujana Heights, Teluk Kumbar Bayan Lepas",https://www.propertyguru.com.my/property-listing/renovated-apartment-saujana-heights-teluk-kumbar-bayan-lepas-for-sale-by-mohd-idham-bin-mohd-sharif-35949854,condominium
For Sale - Hot Investment Kondominium Mutiara Bandar Perda,https://www.propertyguru.com.my/property-listing/hot-investment-kondominium-mutiara-bandar-perda-for-sale-by-mohd-idham-bin-mohd-sharif-35949625,condominium
For Sale - 100% Loan Ready Unit Free all Legal Fees Near Bayan Baru 3+1Store Room,https://www.propertyguru.com.my/property-listing/100-loan-ready-unit-free-all-legal-fees-near-bayan-baru-3-1store-room-for-sale-by-ms-goh-34796374,condominium
For Sale - 0% DOWNPAYMENT FREE ALL LEGAL FEES FLOAN PASS CAN MOVE IN,https://www.propertyguru.com.my/property-listing/0-downpayment-free-all-legal-fees-floan-pass-can-move-in-for-sale-by-ms-goh-34796605,condominium
For Sale - 1 Tanjong,https://www.propertyguru.com.my/property-listing/1-tanjong-for-sale-by-billy-teh-27976631,condominium
For Sale - The Cove,https://www.propertyguru.com.my/property-listing/the-cove-for-sale-by-billy-teh-35435774,condominium
For Sale - The Cove,https://www.propertyguru.com.my/property-listing/the-cove-for-sale-by-billy-teh-35247201,condominium
For Sale - Infinity Beachfront Condo,https://www.propertyguru.com.my/property-listing/infinity-beachfront-condo-for-sale-by-billy-teh-33464377,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-hc-lee-35941592,condominium
For Sale - Middleton @ Minden Heights,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-marcus-ung-35946703,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-carmen-teh-35926688,condominium
For Sale - Vivo Executive Apartment,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-edwin-ong-34692771,condominium
For Sale - BayStar Condominium,https://www.propertyguru.com.my/property-listing/baystar-condominium-for-sale-by-ck-ong-35331143,condominium
For Sale - Seri Sempadan,https://www.propertyguru.com.my/property-listing/seri-sempadan-for-sale-by-camillus-chai-35943785,condominium
For Sale - Lucerne Residences @ Ideal City,https://www.propertyguru.com.my/property-listing/lucerne-residences-ideal-city-for-sale-by-tan-xin-yang-35942842,condominium
For Sale - Marina Bay Condominium,https://www.propertyguru.com.my/property-listing/marina-bay-condominium-for-sale-by-billion-chin-35917812,condominium
For Sale - Idaman Lavender 1 Apartment Sungai Ara,https://www.propertyguru.com.my/property-listing/idaman-lavender-1-apartment-sungai-ara-for-sale-by-suzanne-ooi-1465778,condominium
For Sale - Desa Pinang 1,https://www.propertyguru.com.my/property-listing/desa-pinang-1-for-sale-by-suzanne-ooi-34367624,condominium
For Sale - Mayang Apartment (Bayan Baru),https://www.propertyguru.com.my/property-listing/mayang-apartment-bayan-baru-for-sale-by-suzanne-ooi-33889899,condominium
"For Sale - [1 YEAR NO INSTALMENT] 0% DEPOSIT, NEAR AIRPORT",https://www.propertyguru.com.my/property-listing/1-year-no-instalment-0-deposit-near-airport-for-sale-by-harold-lee-35643946,condominium
"For Sale - [12 months free instalment] COMPLETED, NEAR AIRPORT",https://www.propertyguru.com.my/property-listing/12-months-free-instalment-completed-near-airport-for-sale-by-harold-lee-35643942,condominium
For Sale - Maritime Suite,https://www.propertyguru.com.my/property-listing/maritime-suite-for-sale-by-yonii-tan-35940272,condominium
For Sale - Pearl Regency,https://www.propertyguru.com.my/property-listing/pearl-regency-for-sale-by-eugene-ye-tan-35940032,condominium
For Sale - Quay West Residence,https://www.propertyguru.com.my/property-listing/quay-west-residence-for-sale-by-bernice-lim-35936950,condominium
For Sale - The Oasis,https://www.propertyguru.com.my/property-listing/the-oasis-for-sale-by-khor-chiayee-35522662,condominium
For Sale - Vivo Executive Apartment,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-carmen-teh-35240351,condominium
For Sale - NEAR BATU MAUNG FREE 50K DOWNPAYMENT & 30K LEGAL FEES,https://www.propertyguru.com.my/property-listing/near-batu-maung-free-50k-downpayment-30k-legal-fees-for-sale-by-ms-goh-34829911,condominium
For Sale - 0% DOWNPAYMENT BAYAN LEPAS COMPLETED CONDO 3BIG ROOM FREE CASH BACK MOVE IN NOW,https://www.propertyguru.com.my/property-listing/0-downpayment-bayan-lepas-completed-condo-3big-room-free-cash-back-move-in-now-for-sale-by-ms-goh-35934100,condominium
For Sale - Ramah Pavilion,https://www.propertyguru.com.my/property-listing/ramah-pavilion-for-sale-by-camillus-chai-34917432,condominium
For Sale - 8 Gurney (The Shore),https://www.propertyguru.com.my/property-listing/8-gurney-the-shore-for-sale-by-millie-chew-35925722,condominium
For Sale - Queens Residences @ Queens Waterfront,https://www.propertyguru.com.my/property-listing/queens-residences-queens-waterfront-for-sale-by-millie-chew-35925757,condominium
For Sale - Taman Seri Damai,https://www.propertyguru.com.my/property-listing/taman-seri-damai-for-sale-by-millie-chew-35335703,condominium
For Sale - Setia Sky Ville @ Jelutong Penang,https://www.propertyguru.com.my/property-listing/setia-sky-ville-jelutong-penang-for-sale-by-mj-zie-35388795,condominium
For Sale - Middleton @ Minden Heights,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-mj-zie-35168333,condominium
For Sale - The Spring,https://www.propertyguru.com.my/property-listing/the-spring-for-sale-by-jeremy-tan-35512708,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-edwin-ng-35839702,condominium
For Sale - Quay West Residence,https://www.propertyguru.com.my/property-listing/quay-west-residence-for-sale-by-bernice-lim-35926961,condominium
For Sale - Fiera Vista,https://www.propertyguru.com.my/property-listing/fiera-vista-for-sale-by-khim-35909048,condominium
For Sale - QuayWest Residence,https://www.propertyguru.com.my/property-listing/quaywest-residence-for-sale-by-bernice-lim-35926047,condominium
For Sale - Quayside Seafront Resort Condominiums,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mj-zie-34903687,condominium
For Sale - Andaman @ Quayside,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mj-zie-33485998,condominium
For Sale - The Peak Residences,https://www.propertyguru.com.my/property-listing/the-peak-residences-for-sale-by-jeniffer-goh-35604031,condominium
For Sale - Andaman @ Quayside,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-daniel-koay-35924355,condominium
For Sale - Summerton Bayan Indah,https://www.propertyguru.com.my/property-listing/summerton-bayan-indah-for-sale-by-cane-low-19746854,condominium
For Sale - Ferringhi Residence 2,https://www.propertyguru.com.my/property-listing/ferringhi-residence-2-for-sale-by-edwin-ong-35851594,condominium
For Sale - Royale Infinity,https://www.propertyguru.com.my/property-listing/royale-infinity-for-sale-by-edwin-ong-34692815,condominium
For Sale - Queens Residences @ Queens Waterfront,https://www.propertyguru.com.my/property-listing/queens-residences-queens-waterfront-for-sale-by-millie-chew-35528587,condominium
For Sale - Vivo Executive Apartment,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-carmen-teh-35240344,condominium
For Sale - 3 Residence,https://www.propertyguru.com.my/property-listing/3-residence-for-sale-by-jeff-teh-35921520,condominium
For Sale - Bukit Saujana (Penang),https://www.propertyguru.com.my/property-listing/bukit-saujana-penang-for-sale-by-camillus-chai-34881585,condominium
