,subarea_name,category_name,sub_category_name,room_count,bathroom_count,parking_count,size (sqrt),property_type,price (RM)
0,Relau,Apartment / Condominium,Apartment,3,2,0,680,Freehold,270000
1,Permatang Pauh,Land,Residential,0,0,0,12545,Freehold,390000
2,Bukit Mertajam,Apartment / Condominium,Apartment,3,2,2,883,Freehold,378000
3,Bayan Lepas,Apartment / Condominium,Condominium,4,2,2,1140,Freehold,663900
4,Bertam,House,2-storey Terraced House,4,3,0,1480,Freehold,434999
5,Butterworth,Apartment / Condominium,Apartment,3,2,1,860,Freehold,450000
6,Bayan Lepas,Commercial Property,Warehouse / Factory,0,0,0,4280,Freehold,4500000
7,Bayan Lepas,Apartment / Condominium,Flat,3,2,0,650,Freehold,240000
8,Gelugor,Apartment / Condominium,Condominium,3,2,2,1409,Freehold,1300000
9,Perai,Apartment / Condominium,Apartment,3,2,1,753,Freehold,218000
10,Bukit Minyak,House,Semi-Detached House,3,2,0,2250,Freehold,450000
11,Ayer Itam,Apartment / Condominium,Condominium,3,2,2,936,Freehold,550000
12,Penanti,House,Terraced House,3,2,0,1485,Freehold,319999
13,Sungai Ara,Apartment / Condominium,Flat,3,2,0,670,Freehold,254999
14,Teluk Kumbar,House,Semi-Detached House,4,3,0,2983,Freehold,980000
15,Bayan Lepas,Apartment / Condominium,Condominium,3,2,1,700,Freehold,235000
16,Sungai Ara,Apartment / Condominium,Apartment,3,2,1,650,Freehold,248000
17,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Leasehold,275000
18,Batu Kawan,House,Bungalow House,4,3,0,10130,Freehold,950000
19,Simpang Ampat,House,Semi-Detached House,4,4,0,3200,Freehold,699000
20,Bukit Mertajam,House,2-storey Terraced House,4,4,0,3004,Freehold,712500
21,Simpang Ampat,House,Semi-Detached House,5,5,0,3332,Freehold,785000
22,Simpang Ampat,House,Semi-Detached House,5,5,0,2400,Freehold,570000
23,Bukit Mertajam,Apartment / Condominium,Apartment,3,2,1,1044,Freehold,298000
24,Butterworth,House,3-storey Terraced House,4,5,0,1200,Freehold,620000
25,Butterworth,House,2-storey Terraced House,4,3,0,1400,Freehold,538000
26,Butterworth,Apartment / Condominium,Condominium,3,2,2,1273,Freehold,470000
27,Bertam,House,2-storey Terraced House,4,3,0,1280,Freehold,390000
28,Bukit Mertajam,House,3-storey Terraced House,5,5,0,1400,Freehold,750000
29,Alma,House,1-storey Terraced House,3,1,0,1100,Freehold,315000
30,Gelugor,Apartment / Condominium,Condominium,3,2,1,1283,Freehold,800000
31,Batu Ferringhi,House,Bungalow House,5,5,0,4200,Freehold,2800000
32,Bukit Mertajam,House,Semi-Detached House,4,3,0,2400,Freehold,790000
33,Alma,House,Terraced House,4,3,0,1540,Freehold,630000
34,Relau,House,3-storey Terraced House,6,4,0,2065,Leasehold,997000
35,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Leasehold,240000
36,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Leasehold,240000
37,Permatang Pauh,House,2-storey Terraced House,4,3,0,1194,Freehold,475000
38,Batu Ferringhi,House,Bungalow House,5,5,0,4600,Freehold,3800000
39,Butterworth,Apartment / Condominium,Condominium,3,2,1,883,Freehold,265000
40,Batu Ferringhi,House,Bungalow House,5,5,0,3800,Freehold,2200000
41,Bayan Lepas,Apartment / Condominium,Condominium,2,2,2,950,Freehold,860000
42,Butterworth,Apartment / Condominium,Condominium,3,2,1,938,Freehold,355000
43,Butterworth,House,2.5-storey Terraced House,4,4,0,2880,Freehold,680000
44,Butterworth,Apartment / Condominium,Condominium,3,2,2,1119,Freehold,455000
45,Bukit Mertajam,Apartment / Condominium,Condominium,3,2,1,1100,Freehold,388000
46,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1300,Freehold,620000
47,Alma,House,2-storey Terraced House,4,3,0,1300,Freehold,620000
48,Butterworth,Apartment / Condominium,Apartment,3,2,1,900,Freehold,318000
49,Butterworth,Apartment / Condominium,Apartment,2,1,0,860,Freehold,160000
