subarea_name,category_name,room_count,size (sqrt),property_type,price (RM),district_penang,location_penang
Relau,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Bukit Mertajam,Apartment / Condominium,3,938.0,Freehold,399000,Central Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,4,1140.0,Freehold,663900,South West Penang Island,Island
Bertam,House,4,1480.0,Freehold,434999,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,938.0,Freehold,450000,North Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,1409.0,Freehold,1080000,North East Penang Island,Island
Perai,Apartment / Condominium,3,938.0,Freehold,399000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,550000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Teluk Kumbar,House,4,2400.0,Freehold,980000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Sungai Ara,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Batu Kawan,House,4,2400.0,Freehold,950000,South Seberang Perai,Mainland
Simpang Ampat,House,4,2400.0,Freehold,699000,South Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,712500,Central Seberang Perai,Mainland
Simpang Ampat,House,4,2400.0,Freehold,785000,South Seberang Perai,Mainland
Simpang Ampat,House,4,2400.0,Freehold,570000,South Seberang Perai,Mainland
Bukit Mertajam,Apartment / Condominium,3,1044.0,Freehold,399000,Central Seberang Perai,Mainland
Butterworth,House,4,1200.0,Freehold,620000,North Seberang Perai,Mainland
Butterworth,House,4,1400.0,Freehold,538000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,1273.0,Freehold,470000,North Seberang Perai,Mainland
Bertam,House,4,1280.0,Freehold,399000,North Seberang Perai,Mainland
